Date,7203.T,8035.T,9984.T,AAPL,AZN.L,BAS.DE,BRK-B,CL=F,DX-Y.NYB,EEM,GC=F,HG=F,JPM,MSFT,NVDA,RIO.L,SAP.DE,SHEL.L,SIE.DE,SPY,XBI,XLE,XLF,XLK,^GDAXI,^IRX,^N225,^TNX,^VIX
2023-11-28,2557.434326171875,22710.2734375,1519.391357421875,188.26890563964844,9894.7431640625,36.28194808959961,360.04998779296875,76.41000366210938,102.75,37.16603469848633,2039.699951171875,3.8010001182556152,145.44659423828125,376.2191467285156,47.78759002685547,5423.66064453125,137.17031860351562,2578.1865234375,140.86749267578125,440.9579772949219,72.64270782470703,39.010223388671875,33.88566589355469,90.8641128540039,15992.669921875,5.260000228881836,33408.390625,4.335999965667725,12.6899995803833
2023-11-29,2601.5283203125,22772.064453125,1496.8726806640625,187.25042724609375,10026.6728515625,36.51133728027344,358.69000244140625,77.86000061035156,102.7699966430664,36.950775146484375,2047.0999755859375,3.7860000133514404,146.1855010986328,372.43438720703125,48.10636520385742,5391.70947265625,139.094970703125,2551.21044921875,142.2257537841797,440.6478271484375,73.4583740234375,38.71989059448242,34.1259880065918,90.93296813964844,16166.4501953125,5.239999771118164,33321.21875,4.270999908447266,12.979999542236328
2023-11-30,2594.1015625,22838.60546875,1489.6966552734375,187.82395935058594,10120.623046875,36.264957427978516,360.0,75.95999908447266,103.5,37.02565002441406,2038.0999755859375,3.8289999961853027,147.8527374267578,372.4932861328125,46.7373161315918,5390.71142578125,139.99957275390625,2557.705078125,143.2677001953125,442.3828125,75.11951446533203,38.97796630859375,34.51050567626953,91.06578063964844,16215.4296875,5.23799991607666,33486.890625,4.3520002365112305,12.920000076293945
2023-12-01,2629.8408203125,22672.24609375,1464.95068359375,189.0995330810547,10192.583984375,36.736480712890625,357.07000732421875,74.06999969482422,103.2699966430664,37.184757232666016,2071.0,3.9089999198913574,148.57266235351562,368.1678466796875,46.732322692871094,5590.4033203125,141.17361450195312,2565.697265625,145.12831115722656,444.9998779296875,77.41727447509766,39.18073272705078,34.77005386352539,91.27234649658203,16397.51953125,5.215000152587891,33431.51171875,4.22599983215332,12.630000114440918
2023-12-04,2569.037841796875,22539.162109375,1448.1236572265625,187.30975341796875,10260.548828125,36.88091278076172,356.6600036621094,73.04000091552734,103.63999938964844,36.76358413696289,2024.0999755859375,3.820499897003174,149.6620635986328,362.8887634277344,45.47819137573242,5439.6357421875,140.8079376220703,2534.225341796875,146.04002380371094,442.6639099121094,78.77005767822266,39.001007080078125,34.731605529785156,90.16082000732422,16404.759765625,5.2230000495910645,33231.26953125,4.288000106811523,13.079999923706055
2023-12-05,2556.0419921875,21645.580078125,1423.87255859375,191.25514221191406,10138.61328125,37.04233169555664,355.0299987792969,72.31999969482422,104.05000305175781,36.538963317871094,2018.5,3.7725000381469727,149.6431427001953,366.21148681640625,46.53755569458008,5411.67822265625,141.5970458984375,2523.735595703125,147.6773681640625,442.5766906738281,78.38211822509766,38.318965911865234,34.55857467651367,90.70182037353516,16533.109375,5.243000030517578,32775.8203125,4.171000003814697,12.850000381469727
2023-12-06,2624.27099609375,22120.888671875,1432.5338134765625,190.1674041748047,10124.62109375,37.7559928894043,352.3800048828125,69.37999725341797,104.1500015258789,36.49216842651367,2030.5,3.7165000438690186,148.0706024169922,362.55450439453125,45.47520065307617,5483.56787109375,141.5970458984375,2487.767578125,149.7054443359375,440.793212890625,79.11820220947266,37.747520446777344,34.385536193847656,89.9345703125,16656.439453125,5.243000030517578,33445.8984375,4.120999813079834,12.970000267028809
2023-12-07,2594.1015625,21327.12109375,1408.5302734375,192.09559631347656,10092.6376953125,38.31248092651367,352.70001220703125,69.33999633789062,103.54000091552734,36.66999435424805,2029.9000244140625,3.7844998836517334,148.52528381347656,364.6681213378906,46.56753158569336,5559.45166015625,141.55856323242188,2478.775634765625,150.24501037597656,444.1566467285156,80.0929946899414,37.48944854736328,34.5489501953125,91.02641296386719,16628.990234375,5.232999801635742,32858.30859375,4.129000186920166,13.0600004196167
2023-12-08,2488.276611328125,21141.751953125,1398.632080078125,193.51950073242188,10116.6240234375,38.3931884765625,353.0799865722656,71.2300033569336,104.01000213623047,36.51087951660156,1998.300048828125,3.819999933242798,150.16412353515625,367.89251708984375,47.47697830200195,5574.427734375,142.59786987304688,2518.240234375,151.1009063720703,446.066162109375,78.89936065673828,37.894989013671875,34.731605529785156,91.80349731445312,16759.220703125,5.232999801635742,32307.859375,4.244999885559082,12.350000381469727
2023-12-11,2511.48388671875,21868.978515625,1426.3472900390625,191.01779174804688,10090.638671875,38.59709167480469,357.05999755859375,71.31999969482422,104.0999984741211,36.72614669799805,1978.0,3.7799999713897705,150.71356201171875,365.01214599609375,46.59851837158203,5475.580078125,141.7895050048828,2514.243896484375,152.8498992919922,447.8011474609375,78.4417953491211,37.941070556640625,34.943092346191406,92.60517120361328,16794.4296875,5.232999801635742,32791.80078125,4.238999843597412,12.630000114440918
